r,t,y,CapitalInvestment
RE1,IMPCOA,2050,0.0026
RE1,IMPCOA,2051,0.0026
RE1,IMPCOA,2052,0.0027
RE1,IMPCOA,2053,0.0027
RE1,IMPCOA,2054,0.0027
RE1,IMPCOA,2055,0.0028
RE1,IMPCOA,2056,0.0028
RE1,IMPCOA,2057,0.0029
RE1,IMPCOA,2058,0.0029
RE1,IMPCOA,2059,0.003
RE1,IMPCOA,2060,0.003
RE1,IMPCOA,2061,0.0031
RE1,IMPCOA,2062,0.0031
RE1,IMPCOA,2063,0.0031
RE1,IMPCOA,2064,0.0032
RE1,IMPCOA,2065,0.0032
RE1,IMPCOA,2066,0.0033
RE1,IMPCOA,2067,0.0033
RE1,IMPCOA,2068,0.0033
RE1,IMPCOA,2069,0.0034
RE1,IMPCOA,2070,0.0034
RE1,IMPLFO,2015,0.0203
RE1,IMPLFO,2016,0.0213
RE1,IMPLFO,2017,0.0225
RE1,IMPLFO,2018,0.0237
RE1,IMPLFO,2019,0.025
RE1,IMPLFO,2020,0.0263
RE1,IMPLFO,2021,0.025
RE1,IMPLFO,2022,0.0238
RE1,IMPLFO,2023,0.0225
RE1,IMPLFO,2024,0.0213
RE1,IMPLFO,2025,0.0201
RE1,IMPLFO,2026,0.0204
RE1,IMPLFO,2027,0.0212
RE1,IMPLFO,2028,0.0219
RE1,IMPLFO,2029,0.0227
RE1,IMPLFO,2030,0.0235
RE1,IMPLFO,2031,0.0239
RE1,IMPLFO,2032,0.0243
RE1,IMPLFO,2033,0.0247
RE1,IMPLFO,2034,0.0252
RE1,IMPLFO,2035,0.0269
RE1,IMPLFO,2036,0.0278
RE1,IMPLFO,2037,0.0287
RE1,IMPLFO,2038,0.0297
RE1,IMPLFO,2039,0.0307
RE1,IMPLFO,2040,0.0317
RE1,IMPLFO,2041,0.0325
RE1,IMPLFO,2042,0.0334
RE1,IMPLFO,2043,0.0342
RE1,IMPLFO,2044,0.0351
RE1,IMPLFO,2045,0.036
RE1,IMPLFO,2046,0.0345
RE1,IMPLFO,2047,0.033
RE1,IMPLFO,2048,0.0315
RE1,IMPLFO,2049,0.0301
RE1,IMPLFO,2050,0.0284
RE1,IMPLFO,2051,0.011
RE1,IMPLFO,2052,0.0092
RE1,IMPLFO,2053,0.0073
RE1,IMPLFO,2054,0.0055
RE1,IMPLFO,2055,0.0037
RE1,IMPLFO,2056,0.0019
RE1,IMPLFO,2057,0.0
RE1,IMPNGS,2065,0.0039
RE1,IMPNGS,2066,0.0229
RE1,IMPNGS,2067,0.0241
RE1,IMPNGS,2068,0.0252
RE1,IMPNGS,2069,0.0252
RE1,IMPNGS,2070,0.0089
RE1,MINNGS,2024,0.0006
RE1,MINNGS,2025,0.0006
RE1,MINNGS,2026,0.0009
RE1,MINNGS,2027,0.0014
RE1,MINNGS,2028,0.0017
RE1,MINNGS,2029,0.0021
RE1,MINNGS,2030,0.0026
RE1,MINNGS,2031,0.003
RE1,MINNGS,2032,0.0032
RE1,MINNGS,2033,0.0034
RE1,MINNGS,2034,0.0037
RE1,MINNGS,2035,0.0041
RE1,MINNGS,2036,0.0046
RE1,MINNGS,2037,0.0046
RE1,MINNGS,2038,0.0046
RE1,MINNGS,2039,0.0046
RE1,MINNGS,2040,0.0046
RE1,MINNGS,2041,0.0046
RE1,MINNGS,2042,0.0046
RE1,MINNGS,2043,0.0046
RE1,MINNGS,2044,0.0046
RE1,MINNGS,2045,0.0048
RE1,MINNGS,2046,0.0052
RE1,MINNGS,2047,0.0057
RE1,MINNGS,2048,0.0061
RE1,MINNGS,2049,0.0066
RE1,MINNGS,2050,0.007
RE1,MINNGS,2051,0.0147
RE1,MINNGS,2052,0.0166
RE1,MINNGS,2053,0.0184
RE1,MINNGS,2054,0.0196
RE1,MINNGS,2055,0.0205
RE1,MINNGS,2056,0.0214
RE1,MINNGS,2057,0.0224
RE1,MINNGS,2058,0.0226
RE1,MINNGS,2059,0.0229
RE1,MINNGS,2060,0.0232
RE1,MINNGS,2061,0.0231
RE1,MINNGS,2062,0.0229
RE1,MINNGS,2063,0.0227
RE1,MINNGS,2064,0.0224
RE1,MINNGS,2065,0.0181
RE1,MINSOL,2015,0.0
RE1,MINSOL,2017,0.0
RE1,MINSOL,2021,0.0
RE1,MINSOL,2022,0.0
RE1,MINSOL,2023,0.0
RE1,MINSOL,2024,0.0006
RE1,MINSOL,2025,0.0015
RE1,MINSOL,2026,0.0016
RE1,MINSOL,2027,0.0017
RE1,MINSOL,2028,0.0018
RE1,MINSOL,2029,0.0018
RE1,MINSOL,2030,0.0019
RE1,MINSOL,2031,0.002
RE1,MINSOL,2032,0.0021
RE1,MINSOL,2033,0.0022
RE1,MINSOL,2034,0.0023
RE1,MINSOL,2035,0.0025
RE1,MINSOL,2036,0.0026
RE1,MINSOL,2037,0.0028
RE1,MINSOL,2038,0.0034
RE1,MINSOL,2039,0.0044
RE1,MINSOL,2040,0.0054
RE1,MINSOL,2041,0.0058
RE1,MINSOL,2042,0.0062
RE1,MINSOL,2043,0.0067
RE1,MINSOL,2044,0.0072
RE1,MINSOL,2045,0.0079
RE1,MINSOL,2046,0.0089
RE1,MINSOL,2047,0.0099
RE1,MINSOL,2048,0.0106
RE1,MINSOL,2049,0.0106
RE1,MINSOL,2050,0.0113
RE1,MINSOL,2051,0.0136
RE1,MINSOL,2052,0.0143
RE1,MINSOL,2053,0.0151
RE1,MINSOL,2054,0.0156
RE1,MINSOL,2055,0.0158
RE1,MINSOL,2056,0.016
RE1,MINSOL,2057,0.0162
RE1,MINSOL,2058,0.0169
RE1,MINSOL,2059,0.0177
RE1,MINSOL,2060,0.0184
RE1,MINSOL,2061,0.0191
RE1,MINSOL,2062,0.0197
RE1,MINSOL,2063,0.0204
RE1,MINSOL,2064,0.021
RE1,MINSOL,2065,0.0212
RE1,MINSOL,2066,0.0212
RE1,MINSOL,2067,0.0211
RE1,MINSOL,2068,0.0209
RE1,MINSOL,2069,0.0207
RE1,MINSOL,2070,0.0223
RE1,MINWND,2032,0.0002
RE1,MINWND,2033,0.0003
RE1,MINWND,2034,0.0005
RE1,MINWND,2035,0.0006
RE1,MINWND,2036,0.0008
RE1,MINWND,2037,0.0009
RE1,MINWND,2038,0.0011
RE1,MINWND,2039,0.0012
RE1,MINWND,2040,0.0014
RE1,MINWND,2041,0.0015
RE1,MINWND,2042,0.0017
RE1,MINWND,2043,0.0018
RE1,MINWND,2044,0.002
RE1,MINWND,2045,0.0022
RE1,MINWND,2046,0.0023
RE1,MINWND,2047,0.0027
RE1,MINWND,2048,0.0034
RE1,MINWND,2049,0.0044
RE1,MINWND,2050,0.0051
RE1,MINWND,2051,0.0065
RE1,MINWND,2052,0.0066
RE1,MINWND,2053,0.0067
RE1,MINWND,2054,0.0072
RE1,MINWND,2055,0.0079
RE1,MINWND,2056,0.0085
RE1,MINWND,2057,0.0092
RE1,MINWND,2058,0.0094
RE1,MINWND,2059,0.0095
RE1,MINWND,2060,0.0096
RE1,MINWND,2061,0.0097
RE1,MINWND,2062,0.0098
RE1,MINWND,2063,0.0099
RE1,MINWND,2064,0.0101
RE1,MINWND,2065,0.0104
RE1,MINWND,2066,0.0107
RE1,MINWND,2067,0.0109
RE1,MINWND,2068,0.0112
RE1,MINWND,2069,0.0114
RE1,MINWND,2070,0.0201
RE1,MINHYD,2015,0.0006
RE1,MINHYD,2016,0.0005
RE1,MINHYD,2017,0.0006
RE1,MINHYD,2018,0.0004
RE1,MINHYD,2019,0.0005
RE1,MINHYD,2020,0.0005
RE1,MINHYD,2021,0.0017
RE1,MINHYD,2022,0.0018
RE1,MINHYD,2023,0.0018
RE1,MINHYD,2024,0.0018
RE1,MINHYD,2025,0.0018
RE1,MINHYD,2026,0.0018
RE1,MINHYD,2027,0.0018
RE1,MINHYD,2028,0.0018
RE1,MINHYD,2029,0.0018
RE1,MINHYD,2030,0.0018
RE1,MINHYD,2031,0.0018
RE1,MINHYD,2032,0.0018
RE1,MINHYD,2033,0.0018
RE1,MINHYD,2034,0.0018
RE1,MINHYD,2035,0.0018
RE1,MINHYD,2036,0.0018
RE1,MINHYD,2037,0.0018
RE1,MINHYD,2038,0.0018
RE1,MINHYD,2039,0.0018
RE1,MINHYD,2040,0.0018
RE1,MINHYD,2041,0.0018
RE1,MINHYD,2042,0.0018
RE1,MINHYD,2043,0.0018
RE1,MINHYD,2044,0.0018
RE1,MINHYD,2045,0.0018
RE1,MINHYD,2046,0.0018
RE1,MINHYD,2047,0.0018
RE1,MINHYD,2048,0.0018
RE1,MINHYD,2049,0.0018
RE1,MINHYD,2050,0.0018
RE1,MINHYD,2051,0.0018
RE1,MINHYD,2052,0.0018
RE1,MINHYD,2053,0.0018
RE1,MINHYD,2054,0.0018
RE1,MINHYD,2055,0.0018
RE1,MINHYD,2056,0.0018
RE1,MINHYD,2057,0.0018
RE1,MINHYD,2058,0.0018
RE1,MINHYD,2059,0.0018
RE1,MINHYD,2060,0.0018
RE1,MINHYD,2061,0.0018
RE1,MINHYD,2062,0.0018
RE1,MINHYD,2063,0.0018
RE1,MINHYD,2064,0.0018
RE1,MINHYD,2065,0.0018
RE1,MINHYD,2066,0.0018
RE1,MINHYD,2067,0.0018
RE1,MINHYD,2068,0.0018
RE1,MINHYD,2069,0.0018
RE1,MINHYD,2070,0.0018
RE1,PWRBIO001,2022,525.3609
RE1,PWRBIO001,2023,1229.762
RE1,PWRBIO001,2024,321.2657
RE1,PWRBIO001,2025,51.5665
RE1,PWRBIO001,2026,177.2314
RE1,PWRBIO001,2027,122.9828
RE1,PWRBIO001,2028,129.9914
RE1,PWRBIO001,2029,137.4558
RE1,PWRBIO001,2030,145.4042
RE1,PWRBIO001,2031,110.9214
RE1,PWRBIO001,2032,120.8129
RE1,PWRBIO001,2033,131.0112
RE1,PWRBIO001,2034,141.6092
RE1,PWRBIO001,2035,311.6141
RE1,PWRBIO001,2036,221.7749
RE1,PWRBIO001,2037,236.3823
RE1,PWRBIO001,2038,252.0983
RE1,PWRBIO001,2039,269.0015
RE1,PWRBIO001,2040,287.1752
RE1,PWRBIO001,2041,241.9535
RE1,PWRBIO001,2042,254.7356
RE1,PWRBIO001,2043,271.5353
RE1,PWRBIO001,2044,231.4495
RE1,PWRBIO001,2045,251.5381
RE1,PWRBIO001,2046,380.45
RE1,PWRBIO001,2047,380.45
RE1,PWRBIO001,2048,380.45
RE1,PWRBIO001,2049,380.45
RE1,PWRBIO001,2050,380.45
RE1,PWRBIO001,2051,2580.413
RE1,PWRBIO001,2052,811.145
RE1,PWRBIO001,2053,1494.4055
RE1,PWRBIO001,2054,569.055
RE1,PWRBIO001,2055,335.1688
RE1,PWRBIO001,2056,469.6195
RE1,PWRBIO001,2057,424.4379
RE1,PWRBIO001,2058,509.6589
RE1,PWRBIO001,2059,528.8078
RE1,PWRBIO001,2060,546.1136
RE1,PWRBIO001,2061,426.3515
RE1,PWRBIO001,2062,381.347
RE1,PWRBIO001,2063,397.4727
RE1,PWRBIO001,2064,413.7826
RE1,PWRBIO001,2065,589.6427
RE1,PWRBIO001,2066,505.7913
RE1,PWRBIO001,2067,526.5266
RE1,PWRBIO001,2068,566.8091
RE1,PWRBIO001,2069,232.9848
RE1,PWRNGS001,2024,132.0456
RE1,PWRNGS001,2026,65.059
RE1,PWRNGS001,2027,97.398
RE1,PWRNGS001,2028,77.406
RE1,PWRNGS001,2029,84.1435
RE1,PWRNGS001,2030,97.398
RE1,PWRNGS001,2031,90.8001
RE1,PWRNGS001,2032,48.7176
RE1,PWRNGS001,2033,35.578
RE1,PWRNGS001,2034,61.6187
RE1,PWRNGS001,2035,97.398
RE1,PWRNGS001,2036,97.398
RE1,PWRNGS001,2045,50.3493
RE1,PWRNGS001,2046,97.398
RE1,PWRNGS001,2047,97.398
RE1,PWRNGS001,2048,97.398
RE1,PWRNGS001,2049,97.398
RE1,PWRNGS001,2050,97.398
RE1,PWRNGS001,2051,1668.0859
RE1,PWRNGS001,2052,411.4645
RE1,PWRNGS001,2053,388.9517
RE1,PWRNGS001,2054,384.3156
RE1,PWRNGS001,2055,195.2037
RE1,PWRNGS001,2056,265.0024
RE1,PWRNGS001,2057,302.213
RE1,PWRNGS001,2058,131.7461
RE1,PWRNGS001,2059,139.1059
RE1,PWRNGS001,2060,159.1384
RE1,PWRNGS001,2061,79.1572
RE1,PWRNGS001,2066,300.0652
RE1,PWRNGS001,2067,253.939
RE1,PWRNGS001,2068,229.6605
RE1,PWRSOL001,2024,466.6402
RE1,PWRSOL001,2025,582.3853
RE1,PWRSOL001,2026,54.2792
RE1,PWRSOL001,2027,56.1822
RE1,PWRSOL001,2028,58.1521
RE1,PWRSOL001,2029,60.1886
RE1,PWRSOL001,2030,62.291
RE1,PWRSOL001,2031,46.5961
RE1,PWRSOL001,2032,49.7467
RE1,PWRSOL001,2033,52.8564
RE1,PWRSOL001,2034,78.3457
RE1,PWRSOL001,2035,120.5374
RE1,PWRSOL001,2036,84.1348
RE1,PWRSOL001,2037,87.9162
RE1,PWRSOL001,2038,91.8842
RE1,PWRSOL001,2039,96.042
RE1,PWRSOL001,2040,100.3922
RE1,PWRSOL001,2041,84.5834
RE1,PWRSOL001,2042,89.0518
RE1,PWRSOL001,2043,93.7951
RE1,PWRSOL001,2044,98.8241
RE1,PWRSOL001,2045,100.6507
RE1,PWRSOL001,2046,103.4999
RE1,PWRSOL001,2047,106.907
RE1,PWRSOL001,2048,427.9112
RE1,PWRSOL001,2049,427.9112
RE1,PWRSOL001,2050,396.5522
RE1,PWRSOL001,2051,831.1732
RE1,PWRSOL001,2052,141.6323
RE1,PWRSOL001,2053,147.0535
RE1,PWRSOL001,2054,152.731
RE1,PWRSOL001,2055,143.6667
RE1,PWRSOL001,2056,150.21
RE1,PWRSOL001,2057,156.9567
RE1,PWRSOL001,2058,183.7589
RE1,PWRSOL001,2059,226.7702
RE1,PWRSOL001,2060,198.8669
RE1,PWRSOL001,2061,172.3334
RE1,PWRSOL001,2062,179.6923
RE1,PWRSOL001,2063,187.5137
RE1,PWRSOL001,2064,195.8224
RE1,PWRSOL001,2065,182.018
RE1,PWRSOL001,2066,188.5364
RE1,PWRSOL001,2067,195.3776
RE1,PWRSOL001,2068,202.5534
RE1,PWRSOL001,2069,206.5793
RE1,PWRSOL001,2070,1357.2463
RE1,PWRHYD001,2021,421.5855
RE1,PWRHYD001,2022,159.6193
RE1,PWRHYD001,2051,720.0
RE1,PWRHYD002,2021,185.6627
RE1,PWRHYD002,2051,230.0
RE1,PWRHYD003,2021,324.0
RE1,PWRWND001,2032,250.2899
RE1,PWRWND001,2033,242.7719
RE1,PWRWND001,2034,235.2539
RE1,PWRWND001,2035,227.736
RE1,PWRWND001,2036,227.736
RE1,PWRWND001,2037,227.736
RE1,PWRWND001,2038,227.736
RE1,PWRWND001,2039,227.736
RE1,PWRWND001,2040,227.736
RE1,PWRWND001,2041,227.736
RE1,PWRWND001,2042,227.736
RE1,PWRWND001,2043,227.736
RE1,PWRWND001,2044,227.736
RE1,PWRWND001,2045,227.736
RE1,PWRWND001,2046,227.736
RE1,PWRWND001,2047,227.736
RE1,PWRWND001,2048,227.736
RE1,PWRWND001,2049,227.736
RE1,PWRWND001,2050,227.736
RE1,PWRWND001,2051,2006.6401
RE1,PWRWND001,2052,166.7754
RE1,PWRWND001,2053,171.6506
RE1,PWRWND001,2054,176.6766
RE1,PWRWND001,2055,181.8614
RE1,PWRWND001,2056,187.2109
RE1,PWRWND001,2057,420.4632
RE1,PWRWND001,2058,426.1625
RE1,PWRWND001,2059,432.0407
RE1,PWRWND001,2060,438.1145
RE1,PWRWND001,2061,383.2562
RE1,PWRSOL001S,2025,749.2776
RE1,PWRSOL001S,2026,125.6616
RE1,PWRSOL001S,2027,537.7758
RE1,PWRSOL001S,2028,70.5324
RE1,PWRSOL001S,2029,72.0417
RE1,PWRSOL001S,2030,73.5199
RE1,PWRSOL001S,2031,55.018
RE1,PWRSOL001S,2032,58.7126
RE1,PWRSOL001S,2033,62.409
RE1,PWRSOL001S,2034,66.0373
RE1,PWRSOL001S,2035,142.3203
RE1,PWRSOL001S,2036,99.2301
RE1,PWRSOL001S,2037,103.6694
RE1,PWRSOL001S,2038,108.2216
RE1,PWRSOL001S,2039,113.092
RE1,PWRSOL001S,2040,118.0665
RE1,PWRSOL001S,2041,98.7725
RE1,PWRSOL001S,2042,103.3571
RE1,PWRSOL001S,2043,108.0839
RE1,PWRSOL001S,2044,113.1762
RE1,PWRSOL001S,2045,118.4209
RE1,PWRSOL001S,2046,131.5728
RE1,PWRSOL001S,2047,100.0649
RE1,PWRSOL001S,2048,187.7348
RE1,PWRSOL001S,2049,552.2007
RE1,PWRSOL001S,2050,548.6496
RE1,PWRSOL001S,2051,1030.4788
RE1,PWRSOL001S,2052,155.6528
RE1,PWRSOL001S,2053,161.6107
RE1,PWRSOL001S,2054,167.8501
RE1,PWRSOL001S,2055,157.8886
RE1,PWRSOL001S,2056,165.0796
RE1,PWRSOL001S,2057,172.4942
RE1,PWRSOL001S,2058,180.1784
RE1,PWRSOL001S,2059,249.2188
RE1,PWRSOL001S,2060,218.5532
RE1,PWRSOL001S,2061,189.3931
RE1,PWRSOL001S,2062,197.4805
RE1,PWRSOL001S,2063,206.0761
RE1,PWRSOL001S,2064,215.2073
RE1,PWRSOL001S,2065,200.0364
RE1,PWRSOL001S,2066,207.2
RE1,PWRSOL001S,2067,214.7184
RE1,PWRSOL001S,2068,222.6046
RE1,PWRSOL001S,2069,230.8841
RE1,PWRSOL001S,2070,2007.506
RE1,PWRWND001S,2047,516.4192
RE1,PWRWND001S,2048,1061.6529
RE1,PWRWND001S,2049,1830.2012
RE1,PWRWND001S,2050,1202.943
RE1,PWRWND001S,2054,677.2254
RE1,PWRWND001S,2055,1169.4412
RE1,PWRWND001S,2056,1165.9903
RE1,PWRWND001S,2057,1162.523
RE1,PWRWND001S,2062,521.5801
RE1,PWRWND001S,2063,476.7795
RE1,PWRWND001S,2064,657.9394
RE1,PWRWND001S,2065,1042.7959
RE1,PWRWND001S,2066,872.1161
RE1,PWRWND001S,2067,754.322
RE1,PWRWND001S,2068,899.9837
RE1,PWRWND001S,2069,859.7123
RE1,PWRTRNIMP,2015,0.0
RE1,PWRTRNIMP,2016,0.0
RE1,PWRTRNIMP,2017,0.0
RE1,PWRTRNIMP,2018,0.0001
RE1,PWRTRNIMP,2019,0.0001
RE1,PWRTRNIMP,2020,0.0
RE1,PWRTRNIMP,2021,0.0001
RE1,PWRTRNIMP,2022,0.0001
RE1,PWRTRNIMP,2023,0.0001
RE1,PWRTRNIMP,2024,0.0001
RE1,PWRTRNIMP,2025,0.0001
RE1,PWRTRNIMP,2026,0.0001
RE1,PWRTRNIMP,2027,0.0001
RE1,PWRTRNIMP,2028,0.0001
RE1,PWRTRNIMP,2029,0.0001
RE1,PWRTRNIMP,2030,0.0001
RE1,PWRTRNIMP,2031,0.0001
RE1,PWRTRNIMP,2032,0.0001
RE1,PWRTRNIMP,2033,0.0001
RE1,PWRTRNIMP,2034,0.0001
RE1,PWRTRNIMP,2035,0.0001
RE1,PWRTRNIMP,2036,0.0001
RE1,PWRTRNIMP,2037,0.0001
RE1,PWRTRNIMP,2038,0.0001
RE1,PWRTRNIMP,2039,0.0001
RE1,PWRTRNIMP,2040,0.0001
RE1,PWRTRNIMP,2041,0.0001
RE1,PWRTRNIMP,2042,0.0001
RE1,PWRTRNIMP,2043,0.0001
RE1,PWRTRNIMP,2044,0.0001
RE1,PWRTRNIMP,2045,0.0001
RE1,PWRTRNIMP,2046,0.0001
RE1,PWRTRNIMP,2047,0.0001
RE1,PWRTRNIMP,2048,0.0001
RE1,PWRTRNIMP,2049,0.0001
RE1,PWRTRNIMP,2050,0.0001
RE1,PWRTRNIMP,2051,0.0001
RE1,PWRTRNIMP,2052,0.0001
RE1,PWRTRNIMP,2053,0.0001
RE1,PWRTRNIMP,2054,0.0001
RE1,PWRTRNIMP,2055,0.0001
RE1,PWRTRNIMP,2056,0.0001
RE1,PWRTRNIMP,2057,0.0001
RE1,PWRTRNIMP,2058,0.0001
RE1,PWRTRNIMP,2059,0.0001
RE1,PWRTRNIMP,2060,0.0001
RE1,PWRTRNIMP,2061,0.0001
RE1,PWRTRNIMP,2062,0.0001
RE1,PWRTRNIMP,2063,0.0001
RE1,PWRTRNIMP,2064,0.0001
RE1,PWRTRNIMP,2065,0.0001
RE1,PWRTRNIMP,2066,0.0001
RE1,PWRTRNIMP,2067,0.0001
RE1,PWRTRNIMP,2068,0.0001
RE1,PWRTRNIMP,2069,0.0001
RE1,PWRTRNIMP,2070,0.0001
RE1,PWRTRN,2015,11.2809
RE1,PWRTRN,2016,12.5024
RE1,PWRTRN,2017,4.8496
RE1,PWRTRN,2018,4.9563
RE1,PWRTRN,2019,5.0653
RE1,PWRTRN,2020,5.1768
RE1,PWRTRN,2021,87.6411
RE1,PWRTRN,2022,77.3192
RE1,PWRTRN,2023,92.51
RE1,PWRTRN,2024,93.6615
RE1,PWRTRN,2025,114.0531
RE1,PWRTRN,2026,10.46
RE1,PWRTRN,2027,25.978
RE1,PWRTRN,2028,36.9384
RE1,PWRTRN,2029,45.1033
RE1,PWRTRN,2030,53.442
RE1,PWRTRN,2031,13.9239
RE1,PWRTRN,2032,15.6682
RE1,PWRTRN,2033,36.1724
RE1,PWRTRN,2034,34.2661
RE1,PWRTRN,2035,110.1464
RE1,PWRTRN,2036,64.1871
RE1,PWRTRN,2037,95.694
RE1,PWRTRN,2038,42.6271
RE1,PWRTRN,2039,2.1275
RE1,PWRTRN,2040,21.3388
RE1,PWRTRN,2041,67.163
RE1,PWRTRN,2042,63.9109
RE1,PWRTRN,2043,66.9428
RE1,PWRTRN,2044,65.9308
RE1,PWRTRN,2045,44.4742
RE1,PWRTRN,2046,115.7226
RE1,PWRTRN,2047,97.9694
RE1,PWRTRN,2048,147.4814
RE1,PWRTRN,2049,152.1587
RE1,PWRTRN,2050,253.8113
RE1,PWRTRN,2051,556.391
RE1,PWRTRN,2052,65.8376
RE1,PWRTRN,2053,82.834
RE1,PWRTRN,2054,135.7171
RE1,PWRTRN,2055,151.5393
RE1,PWRTRN,2056,153.6527
RE1,PWRTRN,2057,155.8335
RE1,PWRTRN,2058,58.0731
RE1,PWRTRN,2059,59.5701
RE1,PWRTRN,2060,62.5047
RE1,PWRTRN,2061,36.5895
RE1,PWRTRN,2062,71.6305
RE1,PWRTRN,2063,70.2848
RE1,PWRTRN,2064,81.5806
RE1,PWRTRN,2065,115.5818
RE1,PWRTRN,2066,108.4723
RE1,PWRTRN,2067,95.4758
RE1,PWRTRN,2068,106.3416
RE1,PWRTRN,2069,297.1233
RE1,PWRTRN,2070,5.1768
RE1,PWRDIST,2015,75.0077
RE1,PWRDIST,2016,83.1301
RE1,PWRDIST,2017,32.2457
RE1,PWRDIST,2018,32.955
RE1,PWRDIST,2019,33.6801
RE1,PWRDIST,2020,34.4214
RE1,PWRDIST,2021,582.7388
RE1,PWRDIST,2022,514.1072
RE1,PWRDIST,2023,615.1129
RE1,PWRDIST,2024,622.7696
RE1,PWRDIST,2025,758.3564
RE1,PWRDIST,2026,69.5504
RE1,PWRDIST,2027,172.7319
RE1,PWRDIST,2028,245.6092
RE1,PWRDIST,2029,299.8987
RE1,PWRDIST,2030,355.3439
RE1,PWRDIST,2031,92.5818
RE1,PWRDIST,2032,104.1805
RE1,PWRDIST,2033,240.5156
RE1,PWRDIST,2034,227.8403
RE1,PWRDIST,2035,732.3799
RE1,PWRDIST,2036,426.7898
RE1,PWRDIST,2037,636.2835
RE1,PWRDIST,2038,283.4337
RE1,PWRDIST,2039,14.146
RE1,PWRDIST,2040,141.8848
RE1,PWRDIST,2041,446.5766
RE1,PWRDIST,2042,424.9535
RE1,PWRDIST,2043,445.1127
RE1,PWRDIST,2044,438.3836
RE1,PWRDIST,2045,295.7159
RE1,PWRDIST,2046,769.4568
RE1,PWRDIST,2047,651.4132
RE1,PWRDIST,2048,980.6263
RE1,PWRDIST,2049,1011.7263
RE1,PWRDIST,2050,1687.6298
RE1,PWRDIST,2051,3699.5278
RE1,PWRDIST,2052,437.7643
RE1,PWRDIST,2053,550.776
RE1,PWRDIST,2054,902.4035
RE1,PWRDIST,2055,1007.6075
RE1,PWRDIST,2056,1021.6597
RE1,PWRDIST,2057,1036.1602
RE1,PWRDIST,2058,386.1369
RE1,PWRDIST,2059,396.0904
